"run","tick","OriginOfConsumedResouces"
1,1.0,"Central Asia:Northern America|31854.55;South America|0.0;Central Asia|1106855.0;Eastern Europe|0.0;Northern Europe|3461.08;Western Europe|37369.4;Oceania|16022.85;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|61295.36;China|0.0;"
1,1.0,"India:Northern America|47249.6;South America|0.0;Central Asia|0.0;Eastern Europe|0.0;Northern Europe|5133.2;Western Europe|55426.8;Oceania|23766.5;Russian Federation|0.0;India|4862968.1;Pakistan|0.0;United States of America|90915.02;China|0.0;"
1,2.0,"Western Europe:Northern America|0.0;South America|0.0;Central Asia|110.0;Eastern Europe|4193.0;Northern Europe|2809.0;Western Europe|2788234.66;Oceania|0.0;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|0.0;China|0.0;"
1,2.0,"Western Africa:Northern America|42970.74;South America|0.0;Central Asia|0.0;Eastern Europe|649.0;Northern Europe|4642.25;Western Europe|50401.68;Oceania|21733.16;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|83339.85;China|0.0;"
1,2.0,"Oceania:Northern America|0.0;South America|781.0;Central Asia|0.0;Eastern Europe|0.0;Northern Europe|0.0;Western Europe|0.0;Oceania|368414.48;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|0.0;China|0.0;"
1,2.0,"South America:Northern America|77549.08;South America|1305761.16;Central Asia|0.0;Eastern Europe|0.0;Northern Europe|8377.95;Western Europe|90963.94;Oceania|35307.03;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|150407.92;China|0.0;"
1,2.0,"Northern Africa:Northern America|217027.36;South America|0.0;Central Asia|0.0;Eastern Europe|3282.0;Northern Europe|23448.25;Western Europe|254567.34;Oceania|109754.96;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|420927.27;China|0.0;"
1,2.0,"Southern Asia:Northern America|79053.34;South America|0.0;Central Asia|0.0;Eastern Europe|0.0;Northern Europe|8540.9;Western Europe|92727.97;Oceania|39980.77;Russian Federation|0.0;India|0.0;Pakistan|1195.0;United States of America|153326.13;China|0.0;"
1,2.0,"Eastern Europe:Northern America|118284.22;South America|0.0;Central Asia|0.0;Eastern Europe|3239029.38;Northern Europe|12779.25;Western Europe|138743.15;Oceania|50086.45;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|229413.04;China|0.0;"
1,2.0,"Middle Africa:Northern America|9343.72;South America|0.0;Central Asia|0.0;Eastern Europe|143.0;Northern Europe|1026.05;Western Europe|11129.2;Oceania|4943.37;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|18401.6;China|0.0;"
