"run","tick","averagePrice","exchangedQuantity"
1,1.0,2.0983333333333336,3.947363325E7
1,2.0,2.0916666666666663,3.9499666400000006E7
1,3.0,2.0866666666666664,3.9483659550000004E7
1,4.0,2.086666666666667,3.949547254E7
1,5.0,2.0875,3.949889721000001E7
1,6.0,2.083333333333333,3.948317971E7
1,7.0,2.084166666666667,3.950627471E7
1,8.0,2.0875,3.948011319E7
1,9.0,2.09,3.949296984E7
1,10.0,2.0933333333333333,3.947247736E7
1,11.0,2.0966666666666662,3.947179639E7
1,12.0,2.0966666666666662,3.95042699E7
1,13.0,2.095833333333333,3.948416236E7
1,14.0,2.0983333333333336,3.948213811E7
1,15.0,2.0925000000000002,3.949319770999999E7
1,16.0,2.0916666666666663,3.948267403E7
1,17.0,2.0941666666666667,3.9479708239999995E7
1,18.0,2.0941666666666667,3.9497383379999995E7
1,19.0,2.091666666666667,3.9507301E7
1,20.0,2.0925000000000002,3.948263564E7
1,21.0,2.0908333333333333,3.947336628999999E7
1,22.0,2.09,3.948794543E7
1,23.0,2.0891666666666664,3.9476315199999996E7
1,24.0,2.1741666666666664,3.948944454E7
1,25.0,2.254166666666667,3.949859836E7
1,26.0,2.3316666666666666,3.9499284379999995E7
1,27.0,2.4091666666666667,3.9481994230000004E7
1,28.0,2.4891666666666667,3.9482261699999996E7
1,29.0,2.5741666666666667,3.949403189E7
1,30.0,2.6566666666666663,3.949080586E7
1,31.0,2.7416666666666667,3.9478904699999996E7
1,32.0,2.8316666666666666,3.948471142000001E7
1,33.0,2.9225,3.949156525E7
1,34.0,3.0183333333333326,3.9478820260000005E7
1,35.0,3.1075,3.949970885E7
1,36.0,3.2008333333333328,3.949149419E7
1,37.0,3.2975,3.9492966120000005E7
1,38.0,3.099166666666666,3.947666038E7
1,39.0,2.9141666666666666,3.948926772E7
1,40.0,2.7626666666666666,3.919192757E7
1,41.0,2.6138333333333335,3.912921669000001E7
1,42.0,2.4135833333333334,3.936877953E7
1,43.0,2.228833333333333,3.937493461000001E7
1,44.0,1.945833333333333,4.0314185519999996E7
1,45.0,1.764,3.9151105900000006E7
1,46.0,1.713,3.8541092339999996E7
1,47.0,1.711,3.820733006E7
1,48.0,1.6820000000000002,3.824733925999999E7
1,49.0,1.7131666666666667,3.792613593E7
1,50.0,2.0421666666666662,3.892116454E7
1,51.0,2.3545000000000003,3.914357812E7
1,52.0,2.6269166666666672,3.96946918E7
1,53.0,2.8816666666666664,3.989215620999999E7
1,54.0,3.160833333333333,3.980626056E7
1,55.0,3.4241666666666664,3.981337574E7
1,56.0,3.6625,3.9979172879999995E7
1,57.0,3.9525,3.955606724000001E7
1,58.0,4.173333333333333,3.9759969690000005E7
1,59.0,4.393333333333333,3.973756414000001E7
1,60.0,4.6116666666666655,3.976020469E7
1,61.0,4.826666666666667,3.993841727E7
1,62.0,4.531666666666667,3.991899833E7
1,63.0,4.235833333333333,3.99313101E7
1,64.0,3.9458333333333333,3.977463328999999E7
1,65.0,3.67,3.977621420999999E7
1,66.0,3.3825000000000003,3.9853095620000005E7
1,67.0,3.1126666666666667,3.9837551519999996E7
1,68.0,2.909916666666667,3.91789532E7
1,69.0,2.6783333333333332,3.9597044379999995E7
1,70.0,2.4675000000000002,3.955466017E7
1,71.0,2.2815000000000007,3.9452351239999995E7
1,72.0,2.1045,3.946898358E7
1,73.0,2.1762499999999996,3.852672910999999E7
1,74.0,2.3373333333333335,3.864192855E7
1,75.0,2.4686666666666666,3.858167319E7
1,76.0,2.5696666666666665,3.861628029E7
1,77.0,2.6503333333333337,3.863790966E7
1,78.0,2.681333333333334,3.878664075E7
1,79.0,2.7053333333333334,3.86430627E7
1,80.0,2.6765,3.899001114E7
1,81.0,2.6815833333333337,3.835457920999999E7
1,82.0,2.7095833333333337,3.83023557E7
1,83.0,2.7441666666666666,3.846978378E7
1,84.0,2.757333333333333,3.871043284E7
1,85.0,2.4133333333333336,4.0208143989999995E7
1,86.0,1.926666666666667,3.8353773410000004E7
1,87.0,1.5204999999999997,3.798989111E7
1,88.0,1.3575,3.665458012E7
1,89.0,1.3259166666666666,3.564785911000001E7
1,90.0,1.2750000000000001,3.58883324E7
1,91.0,1.2611666666666668,3.53779453E7
1,92.0,1.25,3.536851025E7
1,93.0,1.276,3.485243432E7
1,94.0,1.265,3.524310021E7
1,95.0,1.238,3.544538692E7
1,96.0,1.208,3.5449254669999994E7
1,97.0,1.229,3.4957567019999996E7
1,98.0,1.38875,4.073936033E7
1,99.0,1.5462500000000001,4.0751684220000006E7
1,100.0,1.6804166666666667,4.102987572E7
1,101.0,1.7761666666666667,4.127985958E7
1,102.0,1.866,4.1403339010000005E7
1,103.0,1.9483333333333333,4.145024769E7
1,104.0,2.0354166666666664,4.145729883E7
1,105.0,2.175666666666667,4.1029747E7
1,106.0,2.259,4.121931388E7
1,107.0,2.3571666666666666,4.122114581E7
1,108.0,2.458666666666667,4.129014354E7
1,109.0,2.6405,4.104411852E7
1,110.0,2.480333333333333,4.105948647E7
1,111.0,2.319166666666667,4.1060540379999995E7
1,112.0,2.107333333333333,4.1609087370000005E7
1,113.0,1.9858333333333331,4.0506975239999995E7
1,114.0,1.840666666666667,4.0153965589999996E7
1,115.0,1.7896666666666667,3.959078259E7
1,116.0,1.8179166666666664,3.877173135E7
1,117.0,1.837333333333333,3.8807549949999996E7
1,118.0,1.8009999999999997,3.944309372E7
1,119.0,1.785,3.918626061E7
1,120.0,1.6625,4.024857006E7
1,121.0,1.6140833333333333,3.924836122E7
1,122.0,1.7625000000000002,4.110756183E7
1,123.0,1.8525,4.165280721E7
1,124.0,1.9606666666666666,4.1561735660000004E7
1,125.0,2.0739166666666673,4.158717197E7
1,126.0,2.155333333333333,4.186456196999999E7
1,127.0,2.2195000000000005,4.2031978120000005E7
1,128.0,2.2595,4.2517741519999996E7
1,129.0,2.2384999999999997,4.3017139900000006E7
1,130.0,2.243333333333333,4.308841875E7
1,131.0,2.2415,4.3143050120000005E7
1,132.0,2.235,4.3193661E7
1,133.0,2.1721666666666666,4.3366022599999994E7
1,134.0,2.0508333333333333,4.179949192E7
1,135.0,1.9965000000000004,4.085553537E7
1,136.0,1.9677499999999999,4.029688967E7
1,137.0,1.912583333333333,4.041292685E7
1,138.0,1.8333333333333335,4.069101442E7
1,139.0,1.7737499999999997,4.036831239000001E7
1,140.0,1.7118333333333333,4.041726193E7
1,141.0,1.7493333333333332,3.953528141E7
1,142.0,1.7498333333333334,3.9861448599999994E7
1,143.0,1.7231666666666667,4.023911765E7
1,144.0,1.7760000000000002,3.9556278989999995E7
1,145.0,1.8212499999999998,3.957712166E7
1,146.0,1.8546666666666667,3.994258608E7
1,147.0,1.8359999999999999,4.040794663E7
1,148.0,1.7888333333333328,4.059534034E7
1,149.0,1.7897499999999997,4.019964592E7
1,150.0,1.7829999999999997,4.0175826480000004E7
